place_id,isletme,kategori,primitif,bolge,adres,lat,lng,telefon,website,puan,yorum_sayisi,google_tipi,transfer_agirligi,skor
ChIJ5brkrqKxyhQRHTIxsTauY_A,Arda triko,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Muratpaşa mah. Cumhuriyet cad 104.sokak No:4, Muratpaşa, 34040 Bayrampaşa/İstanbul",41.0541668,28.908206699999997,0535 962 34 78,http://www.ardatriko.com.tr/,4.5,2,Mağaza,1.0,1.0
ChIJIVhDq_W6yhQR9pcP0B-D1Uk,Atfe Tekstil,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Terazidere, Cumhuriyet Cd. No:33, 34035 Bayrampaşa/İstanbul",41.0309062,28.9033743,(0212) 613 50 55,http://atfetekstil.com/,4.4,56,Üretici,1.0,1.0
ChIJ2_hElfa6yhQRAVwdIW5cZtg,Aykut Desimo Çorap,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Terazidere, Sinan Sk. No:3, 34035 Bayrampaşa/İstanbul",41.029666,28.899659000000003,(0212) 674 24 60,https://desimo.com.tr/,4,22,Giyim mağazası,1.0,1.0
ChIJcQ9aEMe5yhQRQTKMk-W7cgc,Bilim Tekstil,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"İbrahimağa Cad. Mühendisler Ticaret Merkezi :4 D:29, Orta, 34030 Maltepe - Bayrampaşa/Bayrampaşa/İstanbul",41.0303733,28.916267999999995,(0212) 612 20 21,http://www.bilimtekstil.com.tr/,4.6,8,Mağaza,1.0,1.0
ChIJ_7fJ0LOxyhQRqXEq2ruGjww,ESEN MODA EVİ,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Yıldırım, Eski Edirne Asf. No:285 D:B, 34000 Bayrampaşa/İstanbul",41.069823899999996,28.893351600000003,0507 652 55 67,https://www.instagram.com/invites/contact/?i=cmcjylspdz7l&utm_content=pevfwi,4.5,52,Giyim mağazası,1.0,1.0
ChIJG6cI6Wa6yhQRqhiQTZ0R2bA,Elele Tekstil,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"B, Orta, Numunebağı Cd. İmran İş hanı 48 / B, 34030 Bayrampaşa/İstanbul",41.033643000000005,28.913795099999998,0553 842 78 03,http://www.eleletekstil.com/,4.3,15,Toptancı,1.0,1.0
ChIJAXw6unm6yhQR5O2Cyxw7Buo,KAYA TORNA,torna tesviye atolyesi,hassas hizalama + alet kullanimi,Bayrampasa,"Yenidoğan, Rami Kışla Cd. No:87 D:170, 34030 Bayrampaşa/İstanbul",41.045414799999996,28.9150845,(0212) 612 31 68,http://www.kayatorna.com/,4.1,51,Üretici,1.0,1.0
ChIJuTtFNl26yhQRSfxqrFepGgg,Karbel Konfeksiyon San. ve Tic. A.Ş.,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Orta, Topkapı Maltepe Yolu 20-22 A, 34040 Bayrampaşa/İstanbul",41.028338999999995,28.917434,(0212) 482 11 62,https://www.karbel.com/,4.4,124,Üretici,1.0,1.0
ChIJZ9c57me6yhQRxvE-tGlYiS4,Nevra Tekstil Fabrika,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Orta, İbrahimağa Cd. No:18/1, 34040 Bayrampaşa/İstanbul",41.029659,28.918858300000004,0543 684 77 34,http://www.nevratekstil.com/,5,3,Giyim mağazası,1.0,1.0
ChIJeVHKNOyxyhQR8xKt6HfBK2I,OZAY KONFEKSİYON,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Kartaltepe, İstanbul Cd. No:11 B Bodrum Kat, 34000 Bayrampaşa/İstanbul",41.054841599999996,28.904237600000002,0507 358 31 37,https://www.instagram.com/ercan_penye_fason_dikim_atolye?igsh=aGVpa21vdXpvaXp6,,,Mağaza,1.0,1.0
ChIJDxliJEO7yhQRnBKihFyid74,Pöyem Öğrenim Atölyesi Bayrampaşa,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Yenidoğan, Abdi İpekçi Cd. No:63-65, 34030 Bayrampaşa/İstanbul",41.037679999999995,28.912135000000003,(0212) 706 72 93,https://www.poyemkurs.com/,4.7,101,Eğitim Kurumu,1.0,1.0
ChIJLfjWtHq7yhQR_kDVBKBogew,Tek Yıldız Tekstil Ram İğne İmalat Sanayi,konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Yenidoğan, Gelin Çk. no: 6/A, 34040 Bayrampaşa/İstanbul",41.037868100000004,28.9114309,(0212) 567 85 13,https://www.tekyildiz.com/,5,1,Mağaza,1.0,1.0
ChIJK2wYNb67yhQR7P_L551NRms,"Tekstilciyim, Fason Dikim Camiası",konfeksiyon atolyesi,deforme malzeme manipulasyonu,Bayrampasa,"Muratpaşa, Bayır Sk. No:13, 34040 Bayrampaşa/İstanbul",41.0488838,28.9018238,0549 770 20 10,http://www.fasonis.com/,,,Mağaza,1.0,1.0
